Path;SBE_version;Start_Time;System_Upload_Date;Date_from_the_Name_File;Latitude;Row_Latitude;Longitude;Row_Longitude;Station;Station_From_Name;Max_Depth;Surface_temperature;Max_difference_Tmd_Temperature;Unit_Temperature;Count_True;Count_Total;Dive_Begin_Index;Dive_End_Index;Error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\mTiNe0609.cnv;SBE25;09.06.2024 22:26;09.06.2024 22:48;09.06.2024;55.56576667;55 33.946;109.59525;109 35.715;middle Tiya-Nemnyanka;mTiNe;654.898;2.7995;1.161977891;t090C: Temperature [ITS-90, deg C];434;1238;10;1247;not error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\mTSG0531.cnv;SBE25;31.05.2024 14:58;31.05.2024 15:29;31.05.2024;51.60626667;51 36.376;104.7330167;104 43.981;mp Tolstiy-Snezhnaya (mTSG);mTSG;1116.128;2.9952;1.022459043;t090C: Temperature [ITS-90, deg C];343;1939;9;1947;not error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\mUT0605.cnv;SBE25;05.06.2024 15:25;05.06.2024 16:11;05.06.2024;52.8943;52 53.658;107.5305;107 31.830;mp Uhan-Tonkiy;mUT;1566.062;2.6637;1.295959043;t090C: Temperature [ITS-90, deg C];472;3046;13;3058;not error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\mVoBo0605.cnv;SBE25;05.06.2024 1:21;05.06.2024 2:33;05.06.2024;52.79213333;52 47.528;107.1111;107 06.666;middle Vorota Boldakovo;mVoBo;1366.828;2.8751;1.089677891;t090C: Temperature [ITS-90, deg C];464;2733;1;2733;not error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\mZaSo0607.cnv;SBE25;07.06.2024 23:14;07.06.2024 23:42;07.06.2024;57.28486667;57 17.092;108.7416;108 44.496;middle Zavorothiy-Sosnovka;mZaSo;896.644;2.5764;1.401780083;t090C: Temperature [ITS-90, deg C];436;1747;0;1746;not error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\mZaSo300_0608.cnv;SBE25;08.06.2024 0:39;08.06.2024 0:52;08.06.2024;54.28835;54 17.301;108.7448833;108 44.693;middle Zavorotniy-Sosnovka 300m;mZaSo;303.73;2.5262;1.436425736;t090C: Temperature [ITS-90, deg C];179;591;5;595;not error
CTD_Data\2024\05-06_Ver\sbe25\cnvdata\seepIrkutskNew0603.cnv;SBE25;03.06.2024 6:54;03.06.2024 7:25;03.06.2024;52.06253333;52 03.752;105.7141167;105 42.847;seep Irkutsk New;seepIrkutskNew;1072.585;3.5382;0.424998657;t090C: Temperature [ITS-90, deg C];417;1922;4;1925;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\12kKu0724.cnv;SBE 19;24.07.2024 9:49;24.07.2024 13:28;24.07.2024;None;None;None;None;12 km Kultuk (mpRing);12kKu;1230.03;7.6675;None;tv290C: Temperature [ITS-90, deg C];0;2456;0;2455;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\3kSo0725.cnv;SBE 19;25.07.2024 8:19;25.07.2024 8:38;25.07.2024;None;None;None;None;3 km Solzan;3kSo;357.161;16.6217;0.005380304;tv290C: Temperature [ITS-90, deg C];8;1015;88;1102;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kBa0802.cnv;SBE 19;02.08.2024 2:11;02.08.2024 4:10;02.08.2024;None;None;None;None;7 km Baikalskoe;7kBa;785.2;17.8752;0.033884378;tv290C: Temperature [ITS-90, deg C];84;1410;30;1439;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kDa0731.cnv;SBE 19;31.07.2024 5:59;31.07.2024 6:18;31.07.2024;None;None;None;None;7 km Davsha;7kDa;386.627;18.5937;0.078276781;tv290C: Temperature [ITS-90, deg C];116;1015;53;1067;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kEl0731.cnv;SBE 19;31.07.2024 18:40;31.07.2024 19:13;31.07.2024;None;None;None;None;7 km Elokhin;7kEl;890.998;22.8023;None;tv290C: Temperature [ITS-90, deg C];0;1748;25;1772;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kIzh0730.cnv;SBE 19;30.07.2024 0:16;30.07.2024 1:15;30.07.2024;None;None;None;None;7 km Izhimey;7kIzh;1627.153;17.2163;None;tv290C: Temperature [ITS-90, deg C];0;3066;45;3110;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kKa0727.cnv;SBE 19;27.07.2024 8:36;27.07.2024 12:29;27.07.2024;None;None;None;None;7 km Kadilniy;7kKa;1414.146;16.8301;None;tv290C: Temperature [ITS-90, deg C];0;2613;56;2668;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kLi0726.cnv;SBE 19;26.07.2024 16:37;26.07.2024 17:35;26.07.2024;None;None;None;None;7 km Listvyanka;7kLi;1407.462;18.0738;None;tv290C: Temperature [ITS-90, deg C];0;2559;216;2774;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kMa0724.cnv;SBE 19;24.07.2024 13:35;24.07.2024 14:20;24.07.2024;None;None;None;None;7 km Marituy;7kMa;1343.782;18.1875;None;tv290C: Temperature [ITS-90, deg C];0;2426;28;2453;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kMi0727.cnv;SBE 19;27.07.2024 1:38;27.07.2024 2:29;27.07.2024;None;None;None;None;7 km Mishikha;7kMi;1372.335;15.9523;None;tv290C: Temperature [ITS-90, deg C];0;2484;64;2547;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kNA0802.cnv;SBE 19;02.08.2024 9:02;02.08.2024 9:24;02.08.2024;None;None;None;None;7 km N-Angarsk;7kNA;480.757;18.792;0.112884036;tv290C: Temperature [ITS-90, deg C];280;1043;58;1100;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kSo0724.cnv;SBE 19;24.07.2024 21:48;24.07.2024 22:27;24.07.2024;None;None;None;None;7 km Solzan;7kSo;871.638;18.6654;None;tv290C: Temperature [ITS-90, deg C];0;1668;77;1744;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kTa0726.cnv;SBE 19;26.07.2024 3:43;26.07.2024 4:27;26.07.2024;None;None;None;None;7 km Tankhoy;7kTa;1103.872;16.821;0.010504852;tv290C: Temperature [ITS-90, deg C];9;2028;49;2076;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kTo0729.cnv;SBE 19;29.07.2024 13:12;29.07.2024 14:03;29.07.2024;None;None;None;None;7 km Tonkiy (Slava);7kTo;1048.462;21.6589;None;tv290C: Temperature [ITS-90, deg C];0;2094;49;2142;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kTu0801.cnv;SBE 19;01.08.2024 22:15;02.08.2024 0:09;01.08.2024;None;None;None;None;7 km Turali;7kTu;663.433;17.6343;0.014408688;tv290C: Temperature [ITS-90, deg C];42;1336;52;1387;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\7kUh0729.cnv;SBE 19;29.07.2024 19:06;30.07.2024 0:04;29.07.2024;None;None;None;None;7 km Ukhan (Slava);7kUh;1601.576;16.124;None;tv290C: Temperature [ITS-90, deg C];0;2872;51;2922;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mAS0728.cnv;SBE 19;28.07.2024 20:49;28.07.2024 21:37;28.07.2024;None;None;None;None;mp Anga-Sukhaya;mAS;1173.272;19.6838;0.004984264;tv290C: Temperature [ITS-90, deg C];5;2223;89;2311;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mBarg0730.cnv;SBE 19;30.07.2024 14:38;30.07.2024 16:07;30.07.2024;None;None;None;None;mp Barguzin gulf;mBarg;165.577;21.6582;None;tv290C: Temperature [ITS-90, deg C];0;516;68;583;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mBT0802.cnv;SBE 19;02.08.2024 0:13;02.08.2024 0:44;02.08.2024;None;None;None;None;mp Baikalskoe-Turali;mBT;805.096;17.4152;0.009015161;tv290C: Temperature [ITS-90, deg C];12;1589;36;1624;not error
CTD_Data\2024\07_Ver\sbe19\cnvdata\mChK0801.cnv;SBE 19;01.08.2024 3:47;01.08.2024 4:29;01.08.2024;None;None;None;None;mp Cheremshaniy-Kabaniy;mChK;891.196;17.7453;None;tv290C: Temperature [ITS-90, deg C];0;1639;54;1692;not error
